;contractingProcedureType;publicationDate;ccp;objectBriefDescription;initialContractualPrice;signingDate;id;contractFundamentationType;closeDate;causesDeadlineChange;causesPriceChange;frameworkAgreementProcedureId;frameworkAgreementProcedureDescription;increments;documents;invitees;observations;totalEffectivePrice;endOfContractType;contractingProcedureUrl;ambientCriteria;directAwardFundamentationType;announcementId;contestants;cpvsType;cpvsDesignation;cpvsValue;cocontratantes;aquisitionStateMemberUE;infoAquisitionStateMemberUE;groupMembers;normal;specialMeasures;regime;executionDeadline;contractTypeCS;executionPlace;centralizedProcedure;cpvs;income;nonWrittenContractJustificationTypes;contractStatus;materialCriteria;contractTypes;description;contractingNif;contractingDescription;contractingId;contractedNif;contractedDescription;contractedId;links_documentos
0;Ajuste Direto Regime Geral;05-03-2026;False;"A aquisição de espaço/ stand para participação para participação na feira ""JEC World 2026 - The Leading International Composites Show"" - feira na área dos materiais
compósitos.";23.234,40 €;25-02-2026;13857808;Artigo 27.º, n.º 1, alínea b) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'Contrato_JEC_2026_RGPD-1.pdf', 'id': 2466700}];[];;;;;False;Não aplicável;-1;[];Principal;Serviços de organização de exposições, feiras e congressos;23234.4 € ;False;False;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );3 dias;False;França;False;79950000-8;False;;;True;Aquisição de serviços;"Procedimento para aquisição de espaço para participação na feira internacional ""JEC World 2026"".";516549952;Associação Fibrenamics - Instituto de Inovação em Materiais Fibrosos e Compósitos;4856370;96410352611;Journals and Exhibitions JEC;5110184;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466700&ext=.pdf
1;Concurso público;05-03-2026;False;Empreitada de Substituição de Chillers e Instalação de Novos Chillers/Bombas de Calor no EEM da Faculdade de Medicina da Universidade de Lisboa;514.406,05 €;04-03-2026;13857807;Artigo 19.º, alínea b) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'C_26IN10070001_Basegov.pdf', 'id': 2466699}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTg5NjY4;False;Não aplicável;427869;"[{'nif': '501255869', 'description': 'TERMOSUL PROJECTOS E INSTALAÇOES, S.A.', 'id': 10119}, {'nif': '503653209', 'description': 'Politermica - Engenharia , Lda', 'id': 31290}, {'nif': '510134980', 'description': 'PINTO & CRUZ - ENERGIAS E SISTEMAS, S.A.', 'id': 296041}, {'nif': '501237445', 'description': 'Omninstal - Electricidade, S.A.', 'id': 10389}, {'nif': '508622069', 'description': 'Openline Facility Services, S.A.', 'id': 26409}, {'nif': '514720000', 'description': 'GLOBALTERMICA INSTALAÇÕES MECÂNICAS, S.A.', 'id': 3515097}, {'nif': '504013432', 'description': 'Termotérmica, Instalações Especiais, Lda ', 'id': 24082}, {'nif': '503581364', 'description': 'Cunha &amp; Antunes, Lda', 'id': 493716}, {'nif': '502808004', 'description': 'RACE - Refrigeration & Air Conditioning Engineering, S.A.', 'id': 61300}, {'nif': '515662607', 'description': 'KPM Serviços de Engenharia Unipessoal Lda.', 'id': 3553957}, {'nif': '516841874', 'description': 'INOENERGIA - INSTALAÇÕES TÉCNICAS, LDA', 'id': 4533893}, {'nif': '513373101', 'description': 'Redemaior Engenharia, Lda.', 'id': 3719832}, {'nif': '514728892', 'description': 'HidroCNT Instalações Mecânicas Lda', 'id': 3413369}, {'nif': '508367360', 'description': 'Smartwatt', 'id': 17454}, {'nif': '507842278', 'description': 'OPERTEC - OPERAÇÃO E MANUTENÇÃO DE INSTALAÇÕES, LDA.', 'id': 108057}, {'nif': '500291586', 'description': 'UNDEL - ENGENHARIA ELÉTRICA, LDA.', 'id': 92106}]";Principal;Instalações mecânicas;514406.05 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;150 dias;False;Portugal;False;45350000-5;False;;;False;Empreitadas de obras públicas;Empreitada de Substituição de Chillers e Instalação de Novos Chillers/Bombas de Calor no EEM da Faculdade de Medicina da Universidade de Lisboa;502662875;Faculdade de Medicina da Universidade de Lisboa;23247;502808004;RACE - Refrigeration & Air Conditioning Engineering, S.A.;61300;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466699&ext=.pdf
2;Ao abrigo de acordo-quadro (art.º 259.º);05-03-2026;False;Prestação de Serviços na Área dos Seguros, ao abrigo do Acordo Quadro 4/2024, da Central de Compras da OesteCIM;36.100,00 €;25-02-2026;13857805;Artigo 259.º do Código dos Contratos Públicos;;;;7074502;"O concurso público tem por objeto a celebração de um acordo-quadro para a seleção de prestadores de serviços de Seguros (Lotes 1 a 10), nos termos e para os efeitos do disposto na alínea b) do n.º 1 do artigo 252.º do CCP e do caderno de encargos, para as entidades que integram CC-OesteCIM, de acordo com os seguintes lotes:
Lote 1  Seguro de Frota Automóvel;
Lote 2  Seguro de Acidentes de Trabalho;
Lote 3  Seguro de Acidentes Pessoais;
Lote 4  Seguro de Acidentes Pessoais Autarcas;
Lote 5  Seguro de Acidentes Pessoais de Bombeiros;
Lote 6  Seguro de Responsabilidade Civil;
Lote 7  Seguro de Multirriscos;
Lote 8  Seguro de Máquinas de Casco;
Lote 9  Seguro de responsabilidade civil proprietário e/ou operadores de aeroportos;
Lote 10  Seguro de responsabilidade ambiental.
Os serviços a adquirir no âmbito do acordo-quadro a celebrar terão de cumprir as especificações técnicas definidas no caderno de encargos e respeitar as disposições aplicáveis do CCP e demais legislação.
";False;[{'description': 'Contrato_Lotes_1,2,4,5,6_dados_expurgados.pdf', 'id': 2466698}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1MzExMw;False;Não aplicável;-1;[{'nif': '500918880', 'description': 'Fidelidade, SA', 'id': 3108}, {'nif': '503640549', 'description': 'Caravela Companhia de Seguros SA', 'id': 39575}, {'nif': '500940231', 'description': 'Generali Seguros, S.A.', 'id': 21895}];Principal;Serviços de seguros;36100.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;730 dias;False;Portugal;False;66510000-8;False;;;False;Aquisição de serviços;Prestação de Serviços na Área dos Seguros, ao abrigo do Acordo Quadro 4/2024, da Central de Compras da OesteCIM;506800580;Município do Bombarral;7625;500918880;Fidelidade Companhia de Seguros, S.A.;3108;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466698&ext=.pdf
3;Ajuste Direto Regime Geral;05-03-2026;False;Aquisição de sacos para dejetos caninos;15.000,00 €;04-03-2026;13857804;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'Contrato 09_26_bg.pdf', 'id': 2466697}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1NzA2Mw;False;ausência de recursos próprios;-1;[{'nif': '504183346', 'description': 'Plasticolors-Transformação de Matérias Plásticas, Lda.', 'id': 2559}];Principal;Sacos de polietileno para recolha de lixo e resíduos;15000.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;1096 dias;False;Portugal;False;19640000-4;False;;;False;Aquisição de bens móveis;Aquisição de sacos para dejetos caninos;509680780;AMBIOLHÃO - EMPRESA MUNICIPAL;215636;504183346;Plasticolors-Transformação de Matérias Plásticas, Lda.;2559;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466697&ext=.pdf
4;Consulta Prévia;05-03-2026;False;Fornecimento e instalação de telas tensionadas para cobertura dos Parques Infantis do Jardim de Infância e do 1.º Ciclo sitos no Centro Escolar de São Pedro do Sul;25.285,00 €;05-03-2026;13857802;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': '05 - CONTRATO_1056_signed_signed_expurgado para BASE.pdf', 'id': 2466696}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1MTgwNA;False;Não aplicável;-1;[{'nif': '501916881', 'description': 'Graça & Mendes, Lda.', 'id': 143149}];Principal;Coberturas (alpendres);25285.0 € ;False;False;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );60 dias;False;Portugal;False;44115710-9;False;;;False;Aquisição de bens móveis;Fornecimento e instalação de telas tensionadas para cobertura dos Parques Infantis do Jardim de Infância e do 1.º Ciclo sitos no Centro Escolar de São Pedro do Sul;506785815;Município de São Pedro do Sul;593;501916881;Graça & Mendes, Lda.;143149;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466696&ext=.pdf
5;Ajuste Direto Regime Geral;05-03-2026;False;Fornecimento de Tigelinhas  ENDOENÇAS 2026;5.675,00 €;05-03-2026;13857801;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1ODQ5Nw;False;ausência de recursos próprios;-1;[{'nif': '-', 'description': 'Ernesto Soares Moreira', 'id': 1124068}];Principal;Preparações lubrificantes;5675.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;20 dias;False;Portugal;False;09210000-4;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;False;Aquisição de serviços;Fornecimento de Tigelinhas  ENDOENÇAS 2026;506822680;Município de Tondela;3275;-;Ernesto Soares Moreira;1124068;
6;Ajuste Direto Regime Geral;05-03-2026;False;Fornecimento de sistema de entivação de valas em alumínio;19.999,90 €;05-03-2026;13857800;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1MzAzNQ;False;ausência de recursos próprios;-1;[{'nif': '502911506', 'description': 'Concretex, Artefactos de Betão Decorativo para Urbanizações, Lda', 'id': 12816}];Principal;Instalações de segurança;19999.9 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;20 dias;False;Portugal;False;35113300-2;False;Artigo 95.º, n.º 1, c), locação ou aquisição de bens móveis ou de serviços nos termos das alíneas i),ii),iii),cumulativamente;;False;Aquisição de bens móveis;Fornecimento de sistema de entivação de valas em alumínio;505170876;Município de Lagos;80;502911506;Concretex - Artefactos de Betão Decorativo p Urbanizações, Lda.;12816;
7;Concurso público;05-03-2026;False;Cateteres balão com fármaco;39.000,00 €;05-03-2026;13857799;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': '262A000091 - Contrato Medtronic Lote 2 BaseGov.pdf', 'id': 2466695}];[];;;;https://community.vortal.biz/Public/public-tender-documents/MXUxWHR1ekZpVDdkZXRxWkhOZjIzRzgycyt3VDhFOEw0YlNLbHUzTkx5VzE1bjhwVkhNNlkyL0ZpNzhyV281R0p4YTkvbFR3RHJlSjUrMWowYzdaVUE9PTNxdXAh;False;Não aplicável;433986;[];Principal;Cateteres de balão;39000.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;301 dias;False;Portugal, Lisboa, Lisboa;False;33141210-5;False;;;False;Aquisição de bens móveis;262A000091 - Aquisição de Cateteres balão com fármaco para o Serviço de Cardiologia, durante o ano de 2026;508481287;Unidade Local de Saúde de Santa Maria, E. P. E.;50317;504223933;MEDTRONIC PORTUGAL, UNIPESSOAL, LDA.;10095;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466695&ext=.pdf
8;Concurso público;05-03-2026;False;Pavimentar vias em Penamacor;382.835,06 €;26-02-2026;13857798;Artigo 19.º, alínea b) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'Contrato 06-2026_Rasurado.pdf', 'id': 2466694}];[];;;;https://www.anogov.com/cm-penamacor/faces/app/acessoDocs.jsp?codigoAcesso=Ps7pKpADw2riSrPtM5rNnCu1Vs7LNfq0fJVCxviOji8gv4JWNA;False;Não aplicável;423906;"[{'nif': '500563993', 'description': 'Antonio Saraiva &amp; Filhos, Lda', 'id': 66116}, {'nif': '501297294', 'description': 'António J. Cruchinho & Filhos, Lda.', 'id': 11821}, {'nif': '501268146', 'description': 'Diamantino Jorge &amp; Filho, S.A.', 'id': 7093}, {'nif': '500024898', 'description': 'ANTÓNIO LOURENÇO, LDA', 'id': 11807}]";Principal;Obras de recuperação;382835.06 € ;False;False;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );365 dias;False;Portugal, Castelo Branco, Penamacor;False;45453100-8;False;;;False;Empreitadas de obras públicas;Pavimentações em Penamacor;506192164;Município de Penamacor;8781;500024898;"ANTONIO LOURENÇO; LDA.";11807;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466694&ext=.pdf
9;Ao abrigo de acordo-quadro (art.º 258.º);05-03-2026;False;Aquisição de serviços de gestão de frota através de um sistema de localização de viaturas por GPS;31.833,00 €;04-03-2026;13857797;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;;;;6770895;Acordo Quadro para Aquisição de Serviços de Gestão de Frota através de um Sistema de Localização de Viaturas por GPS- CNCM - AQ/72/2023;False;[{'description': 'AQ 02-2025 - 13-Contrato BaseGov.pdf', 'id': 2466693}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0OTI0Nw;False;Não aplicável;-1;[];Principal;Serviços de gestão de frotas de veículos;31833.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;1096 dias;False;Portugal;False;50111100-7;False;;;False;Aquisição de serviços;Aquisição de serviços de gestão de frota através de um sistema de localização de viaturas por GPS;506801969;Município de Castro Marim;2801;505464713;CARTRACK PORTUGAL, S.A.;120175;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466693&ext=.pdf
