artigo,numero,alinea,subalinea,texto,referencia
1.º,,,,Artigo 1.º Âmbito,Artigo 1.º
1.º,1.0,,,Artigo 1.º Âmbito O presente Código estabelece a disciplina aplicável à contratação pública e o regime substantivo dos contratos públicos que revistam a natureza de contrato administrativo.,"Artigo 1.º, n.º 1"
1.º,2.0,,,"Artigo 1.º Âmbito O regime da contratação pública estabelecido na parte II é aplicável à formação dos contratos públicos que, independentemente da sua designação e natureza, sejam celebrados pelas entidades adjudicantes referidas no presente Código e não sejam excluídos do seu âmbito de aplicação.","Artigo 1.º, n.º 2"
1.º,3.0,,,"Artigo 1.º Âmbito O presente Código é igualmente aplicável, com as necessárias adaptações, aos procedimentos destinados à atribuição unilateral, pelas entidades adjudicantes referidas no artigo 2.º, de quaisquer vantagens ou benefícios, através de ato administrativo ou equiparado, em substituição da celebração de um contrato público.","Artigo 1.º, n.º 3"
1.º,4.0,,,Artigo 1.º Âmbito (Revogado.),"Artigo 1.º, n.º 4"
1.º,5.0,,,"Artigo 1.º Âmbito A parte III do presente Código contém o regime substantivo aplicável à execução, modificação e extinção dos contratos administrativos, nos termos do artigo 280.º","Artigo 1.º, n.º 5"
1.º,6.0,,,"Artigo 1.º Âmbito (Revogado.) Contém as alterações dos seguintes diplomas: - Declaração de Retificação n.º 36-A/2017, de 30/10 - Lei n.º 30/2021 de 21 de maio","Artigo 1.º, n.º 6"
1.º-A,,,,Artigo 1.º-A Princípios,Artigo 1.º-A
1.º-A,1.0,,,"Artigo 1.º-A Princípios Na formação e na execução dos contratos públicos devem ser respeitados os princípios gerais decorrentes da Constituição, dos Tratados da União Europeia e do Código do Procedimento Administrativo, em especial os princípios da legalidade, da prossecução do interesse público, da 17 imparcialidade, da proporcionalidade, da boa-fé, da tutela da confiança, da sustentabilidade e da responsabilidade, bem como os princípios da concorrência, da publicidade e da transparência, da igualdade de tratamento e da não-discriminação.","Artigo 1.º-A, n.º 1"
1.º-A,2.0,,,"Artigo 1.º-A Princípios As entidades adjudicantes devem assegurar, na formação e na execução dos contratos públicos, que os operadores económicos respeitam as normas aplicáveis em vigor em matéria social, laboral, ambiental, de igualdade de género e de prevenção e combate à corrupção, decorrentes do direito internacional, europeu, nacional ou regional.","Artigo 1.º-A, n.º 2"
1.º-A,3.0,,,"Artigo 1.º-A Princípios Sem prejuízo da aplicação das garantias de imparcialidade previstas no Código do Procedimento Administrativo, as entidades adjudicantes devem adotar as medidas adequadas para impedir, identificar e resolver eficazmente os conflitos de interesses que surjam na condução dos procedimentos de formação de contratos públicos, de modo a evitar qualquer distorção da concorrência e garantir a igualdade de tratamento dos operadores económicos.","Artigo 1.º-A, n.º 3"
1.º-A,4.0,,,"Artigo 1.º-A Princípios Para efeitos do disposto no número anterior, considera-se conflito de interesses qualquer situação em que o dirigente ou o trabalhador de uma entidade adjudicante ou de um prestador de serviços que age em nome da entidade adjudicante, que participe na preparação e na condução do procedimento de formação de contrato público ou que possa influenciar os resultados do mesmo, tem direta ou indiretamente um interesse financeiro, económico ou outro interesse pessoal suscetível de comprometer a sua imparcialidade e independência no contexto do referido procedimento. Contém as alterações dos seguintes diplomas: - Lei n.º 30/2021 de 21 de maio","Artigo 1.º-A, n.º 4"
2.º,,,,Artigo 2.º Entidades adjudicantes,Artigo 2.º
2.º,1.0,,,Artigo 2.º Entidades adjudicantes São entidades adjudicantes:,"Artigo 2.º, n.º 1"
2.º,1.0,a,,Artigo 2.º Entidades adjudicantes São entidades adjudicantes: O Estado;,"Artigo 2.º, n.º 1, alínea a)"
2.º,1.0,b,,Artigo 2.º Entidades adjudicantes São entidades adjudicantes: As Regiões Autónomas;,"Artigo 2.º, n.º 1, alínea b)"
2.º,1.0,c,,Artigo 2.º Entidades adjudicantes São entidades adjudicantes: As autarquias locais;,"Artigo 2.º, n.º 1, alínea c)"
2.º,1.0,d,,Artigo 2.º Entidades adjudicantes São entidades adjudicantes: Os institutos públicos;,"Artigo 2.º, n.º 1, alínea d)"
2.º,1.0,e,,Artigo 2.º Entidades adjudicantes São entidades adjudicantes: As entidades administrativas independentes;,"Artigo 2.º, n.º 1, alínea e)"
2.º,1.0,f,,Artigo 2.º Entidades adjudicantes São entidades adjudicantes: O Banco de Portugal;,"Artigo 2.º, n.º 1, alínea f)"
2.º,1.0,g,,Artigo 2.º Entidades adjudicantes São entidades adjudicantes: As fundações públicas;,"Artigo 2.º, n.º 1, alínea g)"
2.º,1.0,h,,Artigo 2.º Entidades adjudicantes São entidades adjudicantes: As associações públicas;,"Artigo 2.º, n.º 1, alínea h)"
2.º,1.0,h,i,"Artigo 2.º Entidades adjudicantes São entidades adjudicantes: As associações públicas; As associações de que façam parte uma ou várias das pessoas coletivas referidas nas alíneas anteriores, desde que sejam maioritariamente financiadas por estas, estejam sujeitas ao seu controlo de gestão ou tenham um órgão de administração, de direção ou de fiscalização cuja maioria dos titulares seja, direta ou indiretamente, designada pelas mesmas.","Artigo 2.º, n.º 1, alínea h), subalínea i)"
2.º,2.0,,,Artigo 2.º Entidades adjudicantes São também entidades adjudicantes:,"Artigo 2.º, n.º 2"
2.º,2.0,a,,"Artigo 2.º Entidades adjudicantes São também entidades adjudicantes: Os organismos de direito público, considerando-se como tais quaisquer pessoas coletivas que, independentemente da sua natureza pública ou privada:","Artigo 2.º, n.º 2, alínea a)"
2.º,2.0,a,i,"Artigo 2.º Entidades adjudicantes São também entidades adjudicantes: Os organismos de direito público, considerando-se como tais quaisquer pessoas coletivas que, independentemente da sua natureza pública ou privada: Tenham sido criadas especificamente para satisfazer necessidades de interesse geral, sem caráter industrial ou comercial, entendendo-se como tais aquelas cuja atividade económica se não submeta à lógica concorrencial de mercado, designadamente por não terem fins lucrativos ou por não assumirem os prejuízos resultantes da sua atividade; e","Artigo 2.º, n.º 2, alínea a), subalínea i)"
2.º,2.0,a,ii,"Artigo 2.º Entidades adjudicantes São também entidades adjudicantes: Os organismos de direito público, considerando-se como tais quaisquer pessoas coletivas que, independentemente da sua natureza pública ou privada: Sejam maioritariamente financiadas por entidades referidas no número anterior ou por outros organismos de direito público, ou a sua gestão esteja sujeita a controlo por parte dessas entidades, ou tenham órgãos de administração, direção ou fiscalização cujos membros tenham, em mais de metade do seu número, sido designados por essas entidades;","Artigo 2.º, n.º 2, alínea a), subalínea ii)"
2.º,2.0,b,,"Artigo 2.º Entidades adjudicantes São também entidades adjudicantes: Quaisquer pessoas coletivas que se encontrem na situação referida na alínea anterior relativamente a uma entidade que seja, ela própria, uma entidade adjudicante nos termos do disposto na mesma alínea; 18","Artigo 2.º, n.º 2, alínea b)"
2.º,2.0,c,,Artigo 2.º Entidades adjudicantes São também entidades adjudicantes: (Revogada.),"Artigo 2.º, n.º 2, alínea c)"
2.º,2.0,d,,"Artigo 2.º Entidades adjudicantes São também entidades adjudicantes: As associações de que façam parte uma ou várias das pessoas coletivas referidas nas alíneas anteriores, desde que sejam maioritariamente financiadas por estas, estejam sujeitas ao seu controlo de gestão ou tenham um órgão de administração, de direção ou de fiscalização cuja maioria dos titulares seja, direta ou indiretamente, designada pelas mesmas.","Artigo 2.º, n.º 2, alínea d)"
2.º,3.0,,,Artigo 2.º Entidades adjudicantes (Revogado.),"Artigo 2.º, n.º 3"
3.º,,,,Artigo 3.º Contraentes públicos,Artigo 3.º
3.º,1.0,,,"Artigo 3.º Contraentes públicos Para efeitos do presente Código, entende-se por contraentes públicos:","Artigo 3.º, n.º 1"
