;contractingProcedureType;publicationDate;ccp;objectBriefDescription;initialContractualPrice;signingDate;id;contractFundamentationType;increments;closeDate;causesDeadlineChange;causesPriceChange;frameworkAgreementProcedureDescription;documents;invitees;observations;totalEffectivePrice;endOfContractType;contractingProcedureUrl;ambientCriteria;directAwardFundamentationType;announcementId;contestants;frameworkAgreementProcedureId;cpvsValue;cocontratantes;aquisitionStateMemberUE;executionDeadline;contractTypeCS;executionPlace;centralizedProcedure;cpvs;income;nonWrittenContractJustificationTypes;contractStatus;materialCriteria;contractTypes;cpvsType;cpvsDesignation;infoAquisitionStateMemberUE;groupMembers;normal;specialMeasures;regime;description;contractingNif;contractingDescription;contractingId;contractedNif;contractedDescription;contractedId;links_documentos
0;Ajuste Direto Regime Geral;04-03-2026;False;Aquisição de uma Viatura Ligeira de 3 Lugares para o Serviço de Contadores da DAS;13.450,00 €;04-03-2026;13824210;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': '25_2026_Aquisição_viatura_ligeira_3_lugares_DAS.pdf', 'id': 2466122}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1NzQ5Mw;False;ausência de recursos próprios;-1;[{'nif': '509037054', 'description': 'Rui Henrique Ferreira Pires Unipessoal Lda.', 'id': 2662930}];Não aplicável.;13450.0 € ;False;False;15 dias;False;Portugal;False;34100000-8;False;;;False;Aquisição de bens móveis;Principal;Veículos a motor;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Aquisição de uma Viatura Ligeira de 3 Lugares para o Serviço de Contadores da DAS;506641376;Município de Vila Verde;443;509037054;Rui Henrique Ferreira Pires, Unipessoal, Lda;2662930;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466122&ext=.pdf
1;Concurso público;04-03-2026;False;CP 18/2025 - EXTENSÃO DE REDES DE DRENAGEM DE ÁGUAS RESIDUAIS NA RUA CASAL DO FARDEL E NA RUA E TRAVESSA RIBEIRO TRÁS DA PORTELA NA FREGUESIA DE POLVOREIRA - GUIMARÃES;167.826,07 €;04-02-2026;13824209;Artigo 19.º, alínea b) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Contrato de empreitada_CP 18-2025 expurgado.pdf', 'id': 2466121}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTgyMTc3;False;Não aplicável;426124;[{'nif': '510312683', 'description': 'Goldpromise - Engenharia, Unipessoal, Lda', 'id': 553764}, {'nif': '508681049', 'description': 'Tamivia - Construções e Obras Públicas, S.A.', 'id': 117534}, {'nif': '510255817', 'description': 'PRODIGIPADRÃO. LDA', 'id': 1197532}];Não aplicável.;167826.07 € ;False;False;150 dias;False;Portugal;False;45231300-8;False;;;False;Empreitadas de obras públicas;Principal;Construção de condutas para água e águas residuais;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;CP 18/2025 - EXTENSÃO DE REDES DE DRENAGEM DE ÁGUAS RESIDUAIS NA RUA CASAL DO FARDEL E NA RUA E TRAVESSA RIBEIRO TRÁS DA PORTELA NA FREGUESIA DE POLVOREIRA - GUIMARÃES;505993082;Vimágua - Empresa de Água e Saneamento de Guimarães e Vizela, E. I. M., S. A.;55921;510312683;Goldpromise - Engenharia, Unipessoal, Lda;553764;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466121&ext=.pdf
2;Contratação excluída II;04-03-2026;False;25N04796 - Aquisição de equipamento informático;7.489,07 €;30-10-2025;13824208;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '504551663', 'description': 'Trífida, Comércio de Material Informático, Lda', 'id': 7408}];Não aplicável.;7489.07 € ;False;False;5 dias;False;Portugal, Coimbra, Coimbra;False;30213100-6;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Computadores portáteis;;;True;;Decreto-Lei n.º 60/2018, de 03.08;25N04796 - Aquisição de equipamento informático;501617582;Universidade de Coimbra;147;504551663;Trífida, Comércio de Material Informático, Lda;7408;
3;Concurso público;04-03-2026;False;CP 17/2025  EXTENSÃO E SUBSTITUIÇÃO DE REDES DE ABASTECIMENTO DE ÁGUA E REDES DE DRENAGEM DE ÁGUAS RESIDUAIS NA FREGUESIA DE AZURÉM E NAS U.F. ATÃES E RENDUFE E U.F. DE SELHO S. LOURENÇO E GOMINHÃES;388.085,54 €;04-02-2026;13824207;Artigo 19.º, alínea b) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Contrato de empreitada_CP 17-2025_expurgado.pdf', 'id': 2466120}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTc1NDc2;False;Não aplicável;423296;[{'nif': '515236560', 'description': 'Terrabundante-unipessoal.lda', 'id': 3434998}, {'nif': '508681049', 'description': 'Tamivia - Construções e Obras Públicas, Lda.', 'id': 117534}, {'nif': '508646529', 'description': 'Albino Luis, SA', 'id': 50206}];Não aplicável.;388085.54 € ;False;False;210 dias;False;Portugal<BR/>Portugal<BR/>Portugal;False;45231300-8;False;;;False;Empreitadas de obras públicas;Principal;Construção de condutas para água e águas residuais;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;CP 17/2025  EXTENSÃO E SUBSTITUIÇÃO DE REDES DE ABASTECIMENTO DE ÁGUA E REDES DE DRENAGEM DE ÁGUAS RESIDUAIS NA FREGUESIA DE AZURÉM E NAS U.F. ATÃES E RENDUFE E U.F. DE SELHO S. LOURENÇO E GOMINHÃES;505993082;Vimágua, Empresa de Água e Saneamento de Guimarães e Vizela, EIM SA;55921;515236560;Terrabundante-unipessoal.lda;3434998;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466120&ext=.pdf
4;Contratação excluída II;04-03-2026;False;25N04674 - Aquisição de equipamentos informáticos;33.613,00 €;27-10-2025;13824206;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '503329886', 'description': 'SCSI - Sinergia Companhia de Sistemas Informáticos, Lda.', 'id': 172561}];Não aplicável.;33613.0 € ;False;False;30 dias;False;Portugal, Coimbra, Coimbra;False;30213100-6;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Computadores portáteis;;;True;;Decreto-Lei n.º 60/2018, de 03.08;25N04674 - Aquisição de equipamentos informáticos;501617582;Universidade de Coimbra;147;503329886;SCSI - Sinergia Companhia de Sistemas Informáticos, Lda.;172561;
5;Contratação excluída II;04-03-2026;False;25N05512 - Aquisição de reagentes e material de laboratório;7.495,84 €;10-11-2025;13824205;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '507485149', 'description': 'Labor Spirit, Lda', 'id': 70755}];Não aplicável.;7495.84 € ;False;False;5 dias;False;Portugal, Coimbra, Coimbra;False;33696500-0;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Reagentes de laboratório;;;True;;Decreto-Lei n.º 60/2018, de 03.08;25N05512 - Aquisição de reagentes e material de laboratório;501617582;Universidade de Coimbra;147;507485149;Labor Spirit, Lda;70755;
6;Contratação excluída II;04-03-2026;False;25N04763 - Aquisição de equipamentos informáticos;39.560,00 €;27-10-2025;13824204;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '504551663', 'description': 'Trífida, Comércio de Material Informático, Lda', 'id': 7408}];Não aplicável.;39560.0 € ;False;False;29 dias;False;Portugal, Coimbra, Coimbra;False;30213100-6;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Computadores portáteis;;;True;;Decreto-Lei n.º 60/2018, de 03.08;25N04763 - Aquisição de equipamentos informáticos;501617582;Universidade de Coimbra;147;504551663;Trífida, Comércio de Material Informático, Lda;7408;
7;Contratação excluída II;04-03-2026;False;25N05382 - Aquisição de reagentes;7.536,70 €;03-11-2025;13824203;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '501301321', 'description': 'Bio-Rad Laboratories, Lda.', 'id': 710}];Não aplicável.;7536.7 € ;False;False;5 dias;False;Portugal, Coimbra, Coimbra;False;33696500-0;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Reagentes de laboratório;;;True;;Decreto-Lei n.º 60/2018, de 03.08;25N05382 - Aquisição de reagentes;501617582;Universidade de Coimbra;147;501301321;Bio-Rad Laboratories, Lda.;710;
8;Contratação excluída II;04-03-2026;False;25N03494 - Aquisição de equipamento informático (workstation);17.600,00 €;25-07-2025;13824201;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '504551663', 'description': 'Trífida, Comércio de Material Informático, Lda', 'id': 7408}];Não aplicável.;17600.0 € ;False;False;20 dias;False;Portugal, Coimbra, Coimbra;False;30213000-5;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Computadores pessoais;;;True;;Decreto-Lei n.º 60/2018, de 03.08;25N03494 - Aquisição de equipamento informático (workstation);501617582;Universidade de Coimbra;147;504551663;Trífida, Comércio de Material Informático, Lda;7408;
9;Contratação excluída II;04-03-2026;False;23N05964 - Aquisição de evaporador de filme varrido para laboratório científico;20.000,00 €;22-11-2023;13824200;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '000000000', 'description': 'Adobe Systems Software Ireland Ltd.', 'id': 424985}];Não aplicável.;20000.0 € ;False;False;14 dias;False;Portugal, Coimbra, Coimbra;False;38540000-2;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Máquinas e aparelhos para ensaios e medição;;;True;;Decreto-Lei n.º 60/2018, de 03.08;23N05964 - Aquisição de evaporador de filme varrido para laboratório científico;501617582;Universidade de Coimbra;147;CN;LABFIRST INDUSTRIES CO., LIMITED;5555511;
